0.05 0.018 0.000 
0.10 0.074 0.073 
0.14 0.129 0.127 
0.19 0.184 0.180 
0.24 0.239 0.234 
0.29 0.295 0.287 
0.33 0.351 0.341 
0.38 0.404 0.393 
0.43 0.459 0.446 
0.48 0.514 0.500 
0.52 0.568 0.551 
0.57 0.622 0.601 
0.62 0.677 0.654 
0.67 0.725 0.701 
0.71 0.775 0.747 
0.76 0.826 0.789 
0.81 0.866 0.829 
0.86 0.917 0.850 
0.90 0.966 0.887 
0.95 1.015 0.916 
1.00 1.066 0.968 
