0.05 -0.000 0.001 
0.10 0.022 0.022 
0.14 0.074 0.075 
0.19 0.120 0.123 
0.24 0.168 0.178 
0.29 0.226 0.224 
0.33 0.277 0.277 
0.38 0.328 0.331 
0.43 0.379 0.380 
0.48 0.431 0.426 
0.52 0.483 0.480 
0.57 0.531 0.532 
0.62 0.581 0.582 
0.67 0.629 0.623 
0.71 0.683 0.662 
0.76 0.724 0.698 
0.81 0.766 0.716 
0.86 0.804 0.759 
0.90 0.838 0.799 
0.95 0.847 0.835 
1.00 0.883 0.864 
