0.05 -0.000 0.000 
0.10 -0.000 0.024 
0.14 0.107 0.104 
0.19 0.190 0.183 
0.24 0.273 0.263 
0.29 0.358 0.346 
0.33 0.442 0.428 
0.38 0.526 0.510 
0.43 0.609 0.590 
0.48 0.693 0.666 
0.52 0.775 0.741 
0.57 0.859 0.823 
0.62 0.937 0.893 
0.67 1.019 0.959 
0.71 1.094 1.030 
0.76 1.149 1.100 
0.81 1.211 1.178 
0.86 1.273 1.245 
0.90 1.345 1.292 
0.95 1.414 1.357 
1.00 1.481 1.426 
